	TF BTL Small Studio-L		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
12000.000000	1.70	-59.51	0.97
12187.500000	1.66	-60.10	0.95
12375.000000	1.61	-60.66	0.98
12562.500000	1.55	-61.14	0.96
12750.000000	1.49	-61.52	0.95
12937.500000	1.41	-61.75	0.96
13125.000000	1.33	-61.81	0.95
13312.500000	1.26	-61.71	0.95
13500.000000	1.20	-61.46	0.96
13687.500000	1.15	-61.09	0.93
13875.000000	1.12	-60.65	0.95
14062.500000	1.11	-60.18	0.94
14250.000000	1.11	-59.74	0.97
14437.500000	1.12	-59.33	0.96
14625.000000	1.13	-58.97	0.97
14812.500000	1.13	-58.63	0.97
15000.000000	1.13	-58.27	0.96
15187.500000	1.12	-57.87	0.96
15375.000000	1.10	-57.40	0.95
15562.500000	1.08	-56.84	0.93
15750.000000	1.06	-56.19	0.92
15937.500000	1.05	-55.45	0.95
16125.000000	1.04	-54.66	0.95
16312.500000	1.03	-53.83	0.91
16500.000000	1.03	-53.01	0.93
16687.500000	1.03	-52.20	0.95
16875.000000	1.03	-51.43	0.97
17062.500000	1.03	-50.69	0.98
17250.000000	1.03	-49.96	0.97
17437.500000	1.02	-49.24	0.96
17625.000000	1.02	-48.54	0.94
17812.500000	1.01	-47.84	0.96
18000.000000	1.00	-47.16	0.96
18187.500000	0.98	-46.52	0.93
18375.000000	0.97	-45.92	0.96
18562.500000	0.95	-45.37	0.97
18750.000000	0.93	-44.88	0.96
18937.500000	0.90	-44.45	0.96
19125.000000	0.85	-44.06	0.96
19312.500000	0.79	-43.69	0.98
19500.000000	0.72	-43.32	0.98
19687.500000	0.63	-42.93	0.97
19875.000000	0.53	-42.50	0.96
20062.500000	0.42	-42.01	0.96
20250.000000	0.30	-41.45	0.98
20437.500000	0.18	-40.82	0.96
20625.000000	0.05	-40.12	0.97
20812.500000	-0.08	-39.34	0.98
21000.000000	-0.21	-38.51	0.98
21187.500000	-0.35	-37.62	0.99
21375.000000	-0.48	-36.68	0.98
21562.500000	-0.61	-35.69	0.99
21750.000000	-0.75	-34.66	0.99
21937.500000	-0.88	-33.59	0.99
22125.000000	-1.02	-32.48	0.98
22312.500000	-1.15	-31.32	0.99
22500.000000	-1.29	-30.11	0.99
22687.500000	-1.42	-28.88	0.99
22875.000000	-1.55	-27.61	0.99
23062.500000	-1.68	-26.33	0.99
23250.000000	-1.80	-25.04	0.99
23437.500000	-1.92	-23.75	0.98
23625.000000	-2.04	-22.47	0.98
23812.500000	-2.16	-21.21	0.99
24000.000000	-2.28	-19.96	0.98
24187.500000	-2.40	-18.74	0.99
24375.000000	-2.53	-17.54	0.99
24562.500000	-2.65	-16.36	0.99
24750.000000	-2.78	-15.20	0.99
24937.500000	-2.90	-14.07	0.99
25125.000000	-3.03	-12.95	0.99
25312.500000	-3.16	-11.86	1.00
25500.000000	-3.30	-10.79	0.99
25687.500000	-3.44	-9.74	0.98
25875.000000	-3.58	-8.70	0.99
26062.500000	-3.73	-7.67	0.99
26250.000000	-3.88	-6.66	0.99
26437.500000	-4.04	-5.65	0.99
26625.000000	-4.20	-4.63	0.99
26812.500000	-4.37	-3.62	0.99
27000.000000	-4.54	-2.58	0.99
